time;P
20230210:2010;0.0
20230210:2110;0.0
20230210:2210;0.0
20230210:2310;0.0
20230211:0010;0.0
20230211:0110;0.0
20230211:0210;0.0
20230211:0310;0.0
20230211:0410;0.0
20230211:0510;0.0
20230211:0610;0.0
20230211:0710;136.2
20230211:0810;3913.6000000000004
20230211:0910;5488.0
20230211:1010;6269.400000000001
20230211:1110;6728.7
20230211:1210;6466.900000000001
20230211:1310;6725.599999999999
20230211:1410;5611.0
20230211:1510;3982.1
20230211:1610;127.4
20230211:1710;0.0
20230211:1810;0.0
20230211:1910;0.0
20230211:2010;0.0
20230211:2110;0.0
20230211:2210;0.0
20230211:2310;0.0
20230212:0010;0.0
20230212:0110;0.0
20230212:0210;0.0
20230212:0310;0.0
20230212:0410;0.0
20230212:0510;0.0
20230212:0610;0.0
20230212:0710;91.4
20230212:0810;3898.5
20230212:0910;5739.0
20230212:1010;6782.799999999999
20230212:1110;7325.2
20230212:1210;7022.7
20230212:1310;6718.9
20230212:1410;5607.6
20230212:1510;3907.2000000000003
20230212:1610;101.6
20230212:1710;0.0
20230212:1810;0.0
20230212:1910;0.0
20230212:2010;0.0
20230212:2110;0.0
20230212:2210;0.0
20230212:2310;0.0
20230213:0010;0.0
20230213:0110;0.0
20230213:0210;0.0
20230213:0310;0.0
20230213:0410;0.0
20230213:0510;0.0
20230213:0610;0.0
20230213:0710;103.4
20230213:0810;3880.1
20230213:0910;5770.5
20230213:1010;6851.4
20230213:1110;7408.9
20230213:1210;7299.6
20230213:1310;6844.6
20230213:1410;5710.2
20230213:1510;3950.2999999999997
20230213:1610;102.2
20230213:1710;0.0
20230213:1810;0.0
20230213:1910;0.0
20230213:2010;0.0
20230213:2110;0.0
20230213:2210;0.0
20230213:2310;0.0
20230214:0010;0.0
20230214:0110;0.0
20230214:0210;0.0
20230214:0310;0.0
20230214:0410;0.0
20230214:0510;0.0
20230214:0610;0.0
20230214:0710;114.7
20230214:0810;3961.7000000000003
20230214:0910;5778.5
20230214:1010;6891.900000000001
20230214:1110;7385.1
20230214:1210;7165.2
20230214:1310;6665.700000000001
20230214:1410;5576.0
20230214:1510;3899.7000000000003
20230214:1610;106.0
20230214:1710;0.0
20230214:1810;0.0
20230214:1910;0.0
20230214:2010;0.0
20230214:2110;0.0
20230214:2210;0.0
20230214:2310;0.0
20230215:0010;0.0
20230215:0110;0.0
20230215:0210;0.0
20230215:0310;0.0
20230215:0410;0.0
20230215:0510;0.0
20230215:0610;0.0
20230215:0710;114.9
20230215:0810;4062.5
20230215:0910;5895.599999999999
20230215:1010;6986.900000000001
20230215:1110;7488.5
20230215:1210;7246.0
20230215:1310;6780.900000000001
20230215:1410;5654.5
20230215:1510;3962.7999999999997
20230215:1610;105.39999999999999
20230215:1710;0.0
20230215:1810;0.0
20230215:1910;0.0
20230215:2010;0.0
20230215:2110;0.0
20230215:2210;0.0
20230215:2310;0.0
20230216:0010;0.0
20230216:0110;0.0
20230216:0210;0.0
20230216:0310;0.0
20230216:0410;0.0
20230216:0510;0.0
20230216:0610;0.0
20230216:0710;187.5
20230216:0810;3329.1000000000004
20230216:0910;5676.0
20230216:1010;6883.3
20230216:1110;7531.5
20230216:1210;7161.599999999999
20230216:1310;6985.900000000001
